State,Income,Unemployment Rate,Cost of Living Index
Alabama,50637,3.3,88.0
Alaska,68919,4.7,123.8
Arizona,56667,4.0,111.5
Arkansas,51787,3.6,88.7
California,77339,5.4,144.8
Colorado,74167,4.7,102.0
Connecticut,84972,3.4,112.3
Delaware,61387,3.6,100.8
District of Columbia,96728,5.4,141.9
Florida,63597,3.6,102.8
Georgia,57129,3.6,91.3
Hawaii,61175,3.0,186.9
Idaho,54537,3.7,102.0
Illinois,68822,4.8,94.4
Indiana,57930,4.3,90.5
Iowa,58905,3.3,89.7
Kansas,60152,3.8,87.0
Kentucky,52109,5.3,93.0
Louisiana,54622,4.4,92.2
Maine,59463,3.5,112.1
Maryland,70730,3.0,115.3
Massachusetts,84945,4.3,145.9
Michigan,56813,5.4,90.4
Minnesota,68010,3.0,95.1
Mississippi,46248,3.8,87.9
Missouri,56551,3.7,88.7
Montana,57719,2.8,94.9
Nebraska,63321,3.0,93.1
Nevada,61282,5.8,101.3
New Hampshire,74663,3.0,112.6
New Jersey,78700,4.6,114.6
New Mexico,51500,4.4,93.3
New York,78089,4.3,123.3
North Carolina,57416,3.7,97.8
North Dakota,66184,2.6,91.9
Ohio,57880,4.7,94.2
Oklahoma,54998,3.3,85.7
Oregon,62767,4.5,112.0
Pennsylvania,65167,3.8,95.1
Rhode Island,65377,4.7,112.2
South Carolina,53320,4.2,95.9
South Dakota,65806,1.9,92.2
Tennessee,58279,3.7,90.5
Texas,61985,4.1,92.7
Utah,57925,3.2,104.9
Vermont,63206,2.6,114.4
Virginia,68211,3.1,100.7
Washington,75698,4.4,114.2
West Virginia,49169,3.9,84.1
Wisconsin,61210,3.2,97.0
Wyoming,71342,3.5,95.5
